product,brand,core_score,expert_score,reviews,retail_price,sale_price,terrain,arch_support,weight_men,weight_women,heel_to_toe_men,heel_to_toe_women,release_date,width,update,url,summary
Adidas Ultraboost 19, Adidas,95,85,5956,$180,$99 (save 45%), Road, Neutral, Men: 10.9oz , Women: 9.5oz, Men: 10mm , Women: 10mm, Feb 2019," Normal | Narrow, Normal",NaN,https://runrepeat.com/adidas-ultraboost-19,"6 reasons to buy
Many testers believed that the cushioning system that’s present in the Adidas Ultraboost 19 is more responsive than the ones in the previous iterations.
The Primeknit upper felt comfortable and non-irritating to the skin, some people commented.
Several consumers claimed that the underfoot platform was reactive enough to handle long-distance running events and speed training sessions.
The general durability of this running shoe was lauded as it didn’t break down on people, even after multiple runs.
Runners observed the noticeably spacious toe box that permitted natural toe-splay and averted skin chafing.
The versatility of this product was appreciated because people were able to use it for exercising and urban adventures.
2 reasons not to buy
More than a few consumers didn’t like the color schemes of the Ultraboost 19, stating that they were awkward and bland.
A couple of runners claimed that the sidewalls of the shoe didn’t hug the foot properly, thus resulting in some in-shoe wobbling.
Bottom line
The Adidas Ultraboost 19 is considered to be a successful reinvigoration of the famed series of neutral running shoes. Those who have tried it were happy with the reactive midsole design, the form-fitting upper and the durable configurations of the components. Moreover, the people were glad because this road companion was versatile enough to be used for activities other than running. On the other hand, some individuals were unhappy with the color schemes while others were disappointed with the apparently not-so-secure in-shoe coverage."
Brooks Ghost 12, Brooks,96,88,1779,$130,$110 (save 15%)," Road, Treadmill", Neutral, Men: 10.4oz , Women: 9.3oz, Men: 12mm , Women: 12mm, Jul 2019," Narrow, Normal, Wide, X-Wide | Narrow, Normal, Wide",NaN,https://runrepeat.com/brooks-ghost-12,"6 reasons to buy
Several consumers welcome the snug yet secure fit of the Ghost 12, stating that the upper reliably hugs the foot.
The heel-to-toe transitions feel smooth and well-rounded, according to those who have tested this Brooks running shoe.
Wearing this product and taking it for a run is a sure way to get energized and powerful performances, based on a handful of reviews.
The upper unit has received praise for being breathable and able to disperse heat.
A couple of runners have emphasized that the traction capacity of the outsole is dependable and precise.
The shoelaces are able to preserve the intended fit preference because they don’t unravel quickly, according to some purchasers.
3 reasons not to buy
Several consumers have expressed their disappointment with the Brooks Ghost 12’s visuals, stating that the colors are bland and uninspired.
A few testers claim that the toe box is not roomy enough for natural toe-splay.
The midfoot part of the platform is criticized by some for having a noticeable bump that caused discomfort.
Bottom line
The overall feedback for the Brooks Ghost 12 has been overwhelmingly positive. Most runners welcome this running shoe because it has a comfortable and form-accommodating build. The highlights include the breathable yet secure upper unit, the traction-ready outsole, and the highly responsive midsole foam. On the other hand, the sizing scheme is criticized for being a bit small compared to the typical shoe-wrap.
Fans of neutral running shoes that are for the roads are the ones who are likely to have fun with the Brooks Ghost 12."
Asics Gel Kayano 26, Asics,93,86,658,$160,$96 (save 49%), Road, Stability, Men: 11.1oz , Women: 11.1oz, Men: 10mm , Women: 10mm, Jun 2019," Narrow, Normal, Wide, X-Wide | Normal, Wide", Asics Gel Kayano 27,https://runrepeat.com/asics-gel-kayano-26,"8 reasons to buy
Most testers commend the cushioning capability of the Asics Gel Kayano 26’s midsole unit, stating that it was reactive and comfortable.
The stability mechanisms of the platform have been praised for being supportive of the foot and for steadying the foot’s anatomical shape.
The upper unit offers continuous breathability and security, according to a lot of runners.
Although expensive, many buyers agree that the superb features of the Gel Kayano 26 make it worth every penny.
Several users have observed the durability of the shoe, citing that it is properly constructed and that it holds up well.
A number of runners believe the shoe helps relieve discomfort that is caused by flat-footedness.
The Gel Kayano 26 feels comfortable from the first use and does not need a break-in period, many reviewers said.
The midsole features of the Kayano 26 offer a springy and responsive ride, according to numerous wearers.
5 reasons not to buy
Several people have complained about the too-tight construction of the Asics Gel Kayano 26’s toe box.
The shoelaces of this model have received criticism from a few testers for quickly unraveling.
A handful of people note that the midsole was a bit thin to handle extended running sessions.
Some runners consider the available colorways to be unappealing to the eyes.
The sizing scheme has gained a bad rep for being a bit bigger than the usual fare.
Bottom line
The Asics Gel Kayano 26 proves to be a successful update of a solid running shoe series. Most of the positive feedback is focused on the midsole’s cushioning quality and stability mechanisms, as well as the shoe’s durability and responsiveness. The criticisms tackle the too-tight toe box, the contrasting looseness of the overall fit, the apparently dull color schemes, and the easy-to-unravel shoelaces.
The shoe appears to be a worthy purchase for many despite its high price tag. Thus, overpronators and those who enjoy running on the roads would likely appreciate the Asics Gel Kayano 26."
Nike Air Zoom Pegasus 36, Nike,92,88,318,$120,$75 (save 99%)," Road, Treadmill", Neutral, Men: 10oz , Women: 8oz, Men: 10mm , Women: 10mm, Jun 2019," Normal, Wide, X-Wide | Normal, Wide", Nike Air Zoom Pegasus 37,https://runrepeat.com/nike-air-zoom-pegasus-36,"6 reasons to buy
Some people claimed that the underfoot cushioning system was comfortable and responsive to movements.
The upper unit was praised for hugging the foot securely without limiting movement.
The fabrics of the façade were lauded for being smooth and free of irritants like unnecessary seams.
Several runners complimented the lightweight structure of the Nike Air Zoom Pegasus 36, stating that the whole product didn’t drag their feet down.
According to a tester, the lacing system and the heel collar were able to hold the foot in place and prevent in-shoe quivering.
The gripping ability of the outsole was praised by those who have worn this shoe.
1 reasons not to buy
A couple of purchasers claimed that the width profile of this shoe was narrower than their usual fare.
Bottom line
The Air Zoom Pegasus 36 was generally able to garner positive feedback from those who have tested it. This Nike running shoe was apparently comfortable and reactive to the natural motion of the foot. The fabrics that embody the façade are also considered to be elements that agree with the outline of the foot. On the other hand, there were a few reports of a too-tight interior chamber.
The 36th iteration of the Pegasus line is a neutral running shoe that’s made for the roads. Aside from normal pronation, the cushioning system can support the supinated structure of underpronators’ arches."
Mizuno Wave Rider 23, Mizuno,95,88,366,$120,$72 (save 52%), Road, Neutral, Men: 10.2oz , Women: 8.5oz, Men: 12mm , Women: 12mm, Aug 2019," Normal, Wide | Normal, Wide",NaN,https://runrepeat.com/mizuno-wave-rider-23,"7 reasons to buy
The redesigned upper of the Mizuno Wave Rider 23 is well-appreciated by many, which they described as both comfortable and breathable.
A lot of users agree that the Wave Rider 23 is lightweight.
The sole unit of the shoe provides ample cushioning and support, says one reviewer. Another claimed that it offers just the right level of firmness to keep the shoe from feeling mushy.
Several wearers report that the Wave Rider 23 gives a secure and accurate fit, which meets their expectations.
Some testers report that the shoe promotes natural movements and allows a comfortable experience in both running and walking activities.
The midsole “feels like a cloud,” according to a couple of reviewers.
The tongue stays in place despite being a separate detail that is not connected to a cleatie structure, a user claims.
1 reasons not to buy
A couple of reviewers think that the updates in the Wave Rider 23 are not significant enough for buyers to upgrade.
Bottom line
For its 23rd version, the Mizuno Wave Rider remains consistent and reliable in providing a running companion that can withstand many miles on the road. Users were especially impressed with the improvements in the shoe’s structural elements, as well as the performance it delivers. Comfort, support, and fit were some of the winning points of the shoe. Fans of the previous edition of the shoe will love the Wave Rider 23, but maybe not if they expect a highly remarkable change."
Hoka One One Clifton 6, Hoka One One,92,88,109,$130,$104 (save 35%), Road, Neutral, Men: 9oz , Women: 7.4oz, Men: 5mm , Women: 5mm, Jun 2019," Narrow, Normal, Wide | Normal, Wide, X-Wide",NaN,https://runrepeat.com/hoka-one-one-clifton-6,"6 reasons to buy
The forefoot section of the Hoka One One Clifton 6 was wide enough to welcome the natural splaying capacity of the toes, some consumers noted.
According to several testers, the midsole unit was reactive enough to accommodate speedy transitions through the gait cycle.
The lightweight structure of this running shoe was lauded by many consumers.
Most people considered the sizing scheme to be adherent to their expectations.
The upper unit offered breathability and a non-irritating wrap, testers noted.
Based on a handful of reviews, the color schemes were plenty and eye-catching.
1 reasons not to buy
A couple of consumers claimed that they needed a break-in period because the façade was initially too tight.
Bottom line
The overall reaction towards the Clifton 6 was positive. People embraced this Hoka One One running shoe as a worthy successor to the products in the Clifton family. The aesthetics were deemed as appealing while the fabrics of the upper were considered as non-irritating. The reactive midsole, correct sizing scheme, and the lightweight structure were also highlighted as elements that turned this product into a powerhouse in comfort.
Neutral runners who like to take to the roads are the ones who are most likely to enjoy the Hoka One One Clifton 6."
Nike Epic React Flyknit 2, Nike,90,89,547,$150,$69 (save 54%)," Road, Treadmill", Neutral, Men: 8.4oz , Women: 6.9oz, Men: 10mm , Women: 10mm, Feb 2019," Normal | Normal, Wide",NaN,https://runrepeat.com/nike-epic-react-flyknit-2,"5 reasons to buy
Several satisfied users lauded the good-looking design of the Nike Epic React Flyknit 2.
Some buyers admired the lightweight construction of the shoe.
According to some comments, the Epic React Flyknit 2 is a very comfortable running shoe.
Those who have tried the first Epic React Flyknit admired the performance of the 2nd version; they said that it works impressively well on both long-distance and uptempo runs.
A few runners noted the perforations in the upper of the shoe which gives the foot unmatched breathability.
5 reasons not to buy
The shoe is expensive compared to other road running shoes.
A couple of users mentioned that the shoe runs small.
A few medium-footed buyers noticed that the forefoot feels too narrow for them.
Most of those who purchase the shoe online were unhappy because the colors are inaccurate and misleading.
One runner reported that the exposed React foam starts wearing off after using the shoe a few times.
Bottom line
Following the phrase `If it’s not broken, do not fix it`, Nike releases the 2nd version of the Nike Epic React Flyknit with minor upgrades. True enough, many users are still impressed by the performance of the Epic React Flyknit 2. People love its lightweight design, comfortable cushioning and breathable coverage. Though there are some buyers who have expressed disappointments toward the shoe’s sizing and colors, the Epic React Flyknit 2 has still proven to be a successful release."
Saucony Ride ISO 2, Saucony,95,89,51,$120,$70 (save 46%), Road, Neutral, Men: 9.8oz , Women: 8.8oz, Men: 8mm , Women: 8mm, Apr 2019," Normal, Wide | Normal, Wide",NaN,https://runrepeat.com/saucony-ride-iso-2,"5 reasons to buy
Consumers claimed that the Ride ISO 2 was as comfortable, if not more, than the previous iteration in the series.
Those who have tested this Saucony running shoe stated that the aesthetics were visually striking.
Most purchasers were happy that the sizing scheme followed their usual expectations.
The cushioning system was considered to be highly supportive; several people who have lower extremity concerns noted that the midsole kept them from discomfort.
The lightweight build of this product was well-received.
1 reasons not to buy
The material that’s used for the heel collar wore off quickly and rubbed uncomfortably against the skin of the Achilles tendon, a few testers claimed.
Bottom line
Saucony’s premier Ride ISO 2 was able to rake in the positive feedback of many running shoe enthusiasts. This product was regarded as a worthy update to the relatively recent series of neutral running shoes from the reputable brand. The cushioning system, sizing scheme, and lightweight construction were elements that gained praise. On the other hand, the fabric on the heel collar was detested for quickly tearing and causing irritation to the skin.
The Saucony Ride ISO 2 is a road companion that’s designed for neutral pronators and those who like to tackle long miles."
Nike Air Zoom Pegasus 36 Trail, Nike,89,88,201,$130,$78 (save 95%), Trail, Neutral, Men: 9.5oz , Women: 8.3oz, Men: 10mm , Women: 10mm, Jun 2019, Normal | Normal,NaN,https://runrepeat.com/nike-air-zoom-pegasus-36-trail,"8 reasons to buy
The Nike Air Zoom Pegasus 26 Trail works excellently in packed dirt, rocky pavements, as well as mountain trails, as experienced by a number of runners.
A reviewer finds the shoe to be “surprisingly durable.”
Some users agree that the shoe is easy to clean, including the mud stains.
The Flywire cables of the shoe effectively allows flexibility in the midfoot area, according to a wearer.
A couple of runners have praised the heel cup’s adequate support, especially in the Achilles area.
Many buyers think the Air Zoom Pegasus 36 Trail is considerably lightweight for a trail shoe.
Several users rave about the Air Zoom’s exceptional cushioning.
The mesh upper of the shoe is comfortable and breathable, claimed numerous wearers.
2 reasons not to buy
Some wearers observe the forefoot area of the shoe to be too tight.
One reviewer experienced poor grip of the shoe on slippery trail surfaces.
Bottom line
The Nike Air Zoom Pegasus 36 Trail displays a strong and successful comeback as majority of its users expressed their satisfaction with the shoe. Positive comments include comfort, durability, functionality, and even support and flexibility. The shoe also showed lightness and breathability as its outstanding qualities. There were only very few negative feedback regarding fit and traction, but, overall, the Zoom Pegasus 36 Trail is a well-received trail shoe because of its reliable features."
Altra Torin 4 Plush, Altra,93,84,105,$140,$89 (save 41%)," Road, Treadmill", Neutral, Men: 10.1oz , Women: 8.5oz, Men: 0mm , Women: 0mm,NaN," Normal | Normal, X-Wide",NaN,https://runrepeat.com/altra-torin-4-plush,"6 reasons to buy
Some say that the extra 2-millimeter heel height of the Altra Torin 4 Plush allows the foot to enjoy more comfort compared to the regular Torin 4 model.
The responsiveness of the midsole unit is praised because people like a platform that energizes their steps.
Several consumers report that the back part of the silhouette is able to hold the heel in place and keep it from wobbling.
Though a bit heavier than the base iteration of the 4th version, this Altra running shoe is still regarded as lightweight.
There are reviews that vouch for the capacity of this road running shoe to handle groomed trails.
Most users note that the outsole unit has a traction capacity that is reliable and efficient.
3 reasons not to buy
Some testers have described the logo overlay of the shoe as stiff and prone to causing the inner fabrics to rub uncomfortably against the skin.
The toe box didn’t allow the toes to splay naturally, according to a bevy of runners.
A couple of users report that the fabrics and the midsole retain moisture (or water when cleaned) when subjected to it.
Bottom line
The overall feedback for the Altra Torin 4 Plush has been mostly positive. The well-received elements include the noticeably well-cushioned midsole unit, the secure heel construction, and the versatile and dependable outsole unit. On the other hand, the negative feedback emphasizes the surprisingly unaccommodating toe box, the moisture-retaining fabrics/midsole foam, and the irritating overlay system.
People who like neutral running shoes that evoke natural movement and congruence with the flat surfaces of the roads are the target market of the Torin 4 Plush."
New Balance FuelCell Propel, New Balance,96,88,124,$110,$69 (save 37%), Road, Neutral, Men: 9.2oz , Women: 7.1oz, Men: 6mm , Women: 6mm, Jun 2019," Normal, Wide, X-Wide | Normal, Wide",NaN,https://runrepeat.com/new-balance-fuelcell-propel,"5 reasons to buy
Most consumers state that the sizing scheme of the New Balance FuelCell Propel follows their usual expectations.
A lot of runners have welcomed the cushioning system of this running shoe; they claim that the overall feel is soft and responsive.
The price is lauded for being affordable.
This road running shoe has a quality that some testers believe as superb; the components apparently didn’t look or feel cheap.
Many purchasers note that the lightweight construction of this product has allowed them to run for extended periods.
2 reasons not to buy
According to a few people, the overlay that’s placed on the toe box has started to irritate the toes, causing discomfort.
Some runners report that the New Balance FuelCell Propel requires a break-in period because it’s initially a bit stiff.
Bottom line
The general response towards the FuelCell Propel has been mostly positive. Those who have tested this New Balance running shoe feel that it employs a capacity for quality performance and long-lasting enjoyment. The responsive cushioning system, the wallet-friendly price, and the lightness of the build have been highlighted as the elements that elevated this product. On the other hand, the complaints center on the irritating overlay on the toe box, as well as a break-in period that is needed before achieving full comfort.
Fans of neutral running shoes meant for the roads are the target market of the FuelCell Propel."
Brooks Glycerin 17, Brooks,95,87,1014,$150,$105 (save 30%), Road, Neutral, Men: 10.6oz , Women: 9.2oz, Men: 10mm , Women: 10mm, Mar 2019," Normal, Wide, X-Wide | Narrow, Normal, Wide", Brooks Glycerin 18,https://runrepeat.com/brooks-glycerin-17,"6 reasons to buy
The underfoot cushioning system of the Brooks Glycerin 17 was considered to be efficient at providing comfort throughout the running session.
The inclusion of an OrthoLite® sockliner was welcomed by most testers; they believed that it enhanced the plush and pleasant platform of this neutral running shoe.
Some testers stated that the in-shoe fit followed their expectations; the width profiles and the shape of the shoe accommodated the foot with ease.
A couple of purchasers observed that the inner sleeve didn’t cause any irritation or discomfort to the skin.
The foot-shaped platform and the well-adjusted build of this shoe helped it making it versatile; people have commented that they were able to use this shoe for activities other than running.
Most of the running enthusiasts who have tried the Glycerin 17 praised the outsole unit’s capacity to grip the ground. They claimed that the ground control and steadiness were easily achieved because the rubber pad was reliably traction-ready.
1 reasons not to buy
Some purchasers didn’t like the color schemes of this road shoe, stating that the hues looked different from the more appealing online pictures.
Bottom line
Overwhelmingly positive feedback was given to the Brooks Glycerin 17. Those who have tried it were happy with its individual components and the overall quality of its entire existence. The luxurious underfoot experience, the agreeable in-shoe coverage, and the versatile construction were highlighted as the things that made this neutral shoe a great go-to runner.
The Glycerin 17 is designed for neutral pronators and those who desire versatile footwear for speed training, asphalt adventures and gym exercises."
Altra Escalante 2.0, Altra,88,84,120,$130,$60 (save 54%), Road, Neutral, Men: 8.8oz , Women: 7.4oz, Men: 0mm , Women: 0mm, Jul 2019, Normal | Normal,NaN,https://runrepeat.com/altra-escalante-20,"8 reasons to buy
Altra Escalante 2’s EGO™ midsole is very bouncy, praised several runners. 
Because of the shoe’s durable FootPod™ outsole, some testers claim that the shoe can perform even on light trails.  
A lot of the reviewers appreciate the step-in comfort delivered by the shoe. 
The shoe keeps the foot secure when running; there weren’t any slippage, commented some delighted users. 
The laces have been kept in place by the lace loops situated on the shoe’s tongue, remarked many experts. 
Because of the added perforations, the shoe is extremely breathable, said some testers. 
A few runners commend the shoe for enabling enhanced speed. 
The Escalante 2 is very durable, affirmed several wearers. 
3 reasons not to buy
Several testers have complained about the shoe not being light enough for a lightweight running shoe.
The upper of the shoe, being a knit upper, is too stiff and firm, remarked numerous experts. 
The shoe has not satisfied its pledge of providing more flexibility, stated some users. 
Bottom line
Claimed to be a “Swiss Army Knife” among running shoes, the Escalante 2 is the perfect shoe for hiking, everyday training, and even half a marathon. This zero-drop shoe has been faced with both positive and negative reception from the public. While a lot of reviewers deemed the upgrades to be unnecessary, a lot were greatly satisfied with the latest changes. One of which includes the level of stability offered by the shoe. According to many, the shoe is very responsive and is very adaptive to the pace of the runner. "
Salomon Sense Ride 3, Salomon,99,93,62,$120,$80 (save 33%)," Mud, Trail", Neutral, Men: 9.9oz , Women: 8.3oz, Men: 8mm , Women: 8mm, Feb 2020, Normal | Normal,NaN,https://runrepeat.com/salomon-sense-ride-3,"8 reasons to buy
The Salomon Sense Ride 3 provides excellent traction, according to some users.
Based on reviews, the running shoe is supportive.
The majority of the testers agreed that the shoe feels smooth when running.
According to those who have tested it, the running footwear is well-cushioned.
A good number of consumers commented that the shoe is comfortable.
It is stylish, based on reviews.
The shoe is sturdy, as noted by a few buyers.
Many purchasers loved its roomy toe box.
3 reasons not to buy
One of the users commented that the Salomon Sense Ride 3 does not flex easily.
A buyer said that the toe box height of the shoe is low, making it problematic during long hours of running.
The shoe is heavier and beefier, observed by a tester.
Bottom line
Neutral pronators and trail running supporters and fans are the main consumers targeted by the Salomon Sense Ride 3. The neutral running shoe undeniably received positive comments from Salomon running shoe enthusiasts. With the technologies employed into the running shoe, the traction, support, response, and cushioning system are highlighted as the elements that improved the runner's performances."
Skechers GOrun Razor 3 Hyper, Skechers,94,94,57,$135,$80 (save 41%), Road, Neutral, Men: 6.4oz , Women: 6.4oz, Men: 4mm , Women: 4mm, Nov 2018," Normal, Wide | Normal, Wide",NaN,https://runrepeat.com/skechers-gorun-razor-3-hyper,"7 reasons to buy
Many runners praised the responsiveness and energy return of the Skechers GOrun Razor 3 Hyper.
The shoe contributed to an improved speed, according to numerous users. Others attested that it was perfect for running in marathons.
The shoe was comfortable enough to be worn daily, several reviewers said.
A lot of purchasers found the GOrun Razor 3 Hyper to be affordable.
The minimal weight of the shoe was appreciated by most of the users.
The durability of the shoe was apparent to many wearers.
Some reviewers claimed the Skechers GOrun Razor 3 Hyper was a versatile shoe, as it performed well in both fast and slow runs.
3 reasons not to buy
Some buyers were disappointed by the limited color options of the shoe. Meanwhile, others thought that the “Speed” print was tacky.
A few wearers have found the GOrun Razor 3 Hyper to be too narrow.
A couple of reviewers disliked that the shoe needed a break-in period, as they developed blisters during their early runs.
Bottom line
The Skechers GOrun Razor 3 Hyper has evidently presented an above-average performance, based on the numerous positive feedback from users. A lot of runners liked that shoe was adaptable to different conditions, while some were happy with the comfort and convenience it provided. Overall, the GOrun Razor 3 Hyper is worth the purchase; despite some criticisms on its construction, the majority are satisfied and proud that the shoe exceeded their expectations."
